No_,cvNo_
01254796,1
01587796,2
01863656,3
01905283,4
01905382,5
01905777,6
10000,7
20000,8
20300190,9
20319939,10
20323323,11
21201992,12
21218838,13
21248839,14
27299299,15
27833998,16
27889998,17
30000,18
31147896,19
31568974,20
31580305,21
32456123,22
32554455,23
32665544,24
33012999,25
33299199,26
33399927,27
34110257,28
34151086,29
34280789,30
35225588,31
35336699,32
35741852,33
38458653,34
38521479,35
38654478,36
40000,37
41124089,38
41483124,39
41568934,40
42125678,41
42784512,42
42895623,43
43258545,44
43589632,45
43698547,46
44127904,47
44127914,48
44729910,49
44756404,50
45774477,51
45858585,52
45868686,53
46558855,54
46635241,55
46895623,56
47521478,57
47562214,58
47586622,59
49454647,60
49494949,61
49989898,62
50000,63
60000,64
61000,65
62000,66
IC1020,67
IC1030,68
